h3_index,center_lat,center_lon,elevation_m,dist_to_hospital_m,elevation_risk,distance_risk,vulnerability_score,risk_category
873f5ba40ffffff,31.128181291335355,29.946702162508927,-4.0,1004.944327813436,1.0,0.06595618054882586,53.29780902744129,Medium
873f5ba41ffffff,31.12580058999991,29.97439873244471,-4.0,1695.61058818833,1.0,0.11128576479294507,55.564288239647254,Medium
873f5ba42ffffff,31.10875250038782,29.9305843161546,-4.0,3653.036392304707,1.0,0.2397549010167759,61.9877450508388,High
873f5ba43ffffff,31.106375966746054,29.958277470218007,-3.0,3167.854198622869,0.972972972972973,0.20791158046668914,59.04422767198311,Medium
873f5ba44ffffff,31.149985580604515,29.935121532933866,-4.0,642.6764699242788,1.0,0.042179933864632,52.1089966932316,Medium
873f5ba45ffffff,31.147606435467925,29.96282525000912,-3.0,0.0,0.972972972972973,0.0,48.64864864864865,Medium
873f5ba46ffffff,31.130556267935678,29.919001866280073,-4.0,2506.188653765381,1.0,0.16448536178797693,58.22426808939885,Medium
873f5ba48ffffff,31.101605746341402,30.01365257651632,-2.0,6070.392450730722,0.9459459459459459,0.3984100306867487,67.21779883163474,High
873f5ba49ffffff,31.099212065900762,30.04133450440611,-2.0,8295.279982919326,0.9459459459459459,0.544433128397198,74.5189537171572,High
873f5ba4affffff,31.082185817489002,29.997529738593947,-3.0,7014.315383653929,0.972972972972973,0.46036127481538675,71.66671238941798,High
873f5ba4bffffff,31.0797963095293,30.02520827277028,-3.0,8613.669698544501,0.972972972972973,0.5653295790636292,76.91512760183011,High
873f5ba4cffffff,31.123414167084142,30.00209156389804,-2.0,3694.1486666642004,0.9459459459459459,0.24245316848829598,59.41995572171209,Medium
873f5ba4dffffff,31.121022025751824,30.02978064468985,-2.0,6204.419548836714,0.9459459459459459,0.4072064537685605,67.65761998572532,High
873f5ba4effffff,31.103993714345037,29.985966894397816,-3.0,4354.9772223852315,0.972972972972973,0.2858244541671656,62.939871357006936,High
873f5ba50ffffff,31.091686721536146,29.886778267269097,-3.0,7273.083752323888,0.972972972972973,0.4773446765541241,72.51588247635485,High
873f5ba51ffffff,31.089320070992176,29.91447171094066,-3.0,6301.3742693574395,0.972972972972973,0.4135697545751233,69.32713637740481,High
873f5ba52ffffff,31.07224650455153,29.870674334886242,-3.0,8788.594897086074,0.972972972972973,0.5768102130233734,77.48915929981732,High
873f5ba53ffffff,31.069884011519875,29.898364346858315,-3.0,8949.957236792172,0.972972972972973,0.5874006938260196,78.01868333994963,High
873f5ba54ffffff,31.113488398811807,29.875186867139,-3.0,4758.7707045368425,0.972972972972973,0.31232609716979676,64.26495350713849,High
873f5ba55ffffff,31.11112331212264,29.902887444395542,-2.0,5061.963287854831,0.9459459459459459,0.3322251345720941,63.908554025902006,High
873f5ba56ffffff,31.09404764987476,29.859081126689997,2.0,6643.605944647531,0.8378378378378378,0.43603099301414544,63.69344154259916,High
873f5ba58ffffff,31.06514187988336,29.95373325706071,-3.0,7718.298156168471,0.972972972972973,0.506564844070073,73.9768908521523,High
873f5ba59ffffff,31.06276224755441,29.981412130931034,-3.0,8394.649407538705,0.972972972972973,0.5509549102808662,76.19639416269196,High
873f5ba5cffffff,31.086947701374452,29.94216144550797,-2.0,5421.941100765837,0.9459459459459459,0.3558510817661934,65.08985138560696,High
873f5ba5dffffff,31.084569615823547,29.969847458784496,-1.0,5760.246249193115,0.9189189189189189,0.37805461566624166,64.84867672925803,High
873f5ba5effffff,31.067515802252665,29.9260506583115,-3.0,7923.9313202588255,0.972972972972973,0.5200608932761814,74.65169331245772,High
873f5ba60ffffff,31.191214999898733,29.939662312784634,6.0,326.91452951890295,0.7297297297297297,0.021455948490099977,37.55928391099149,Medium
873f5ba61ffffff,31.188833243049572,29.96737660057736,-2.0,1092.3807477350747,0.9459459459459459,0.07169477933413607,50.88203626400411,Medium
873f5ba62ffffff,31.171788825566253,29.923535578768643,-4.0,0.0,1.0,0.0,50.0,Medium
873f5ba63ffffff,31.169411241763,29.951246444364777,-4.0,0.0,1.0,0.0,50.0,Medium
873f5ba64ffffff,31.21301770088842,29.92807285254086,22.0,0.0,0.29729729729729726,0.0,14.864864864864863,Low
873f5ba65ffffff,31.210637509666494,29.955794295217995,3.0,0.0,0.8108108108108107,0.0,40.54054054054054,Medium
873f5ba66ffffff,31.19359101723299,29.91194429728833,9.0,0.0,0.6486486486486487,0.0,32.432432432432435,Medium
873f5ba68ffffff,31.16463887670708,30.006656969443842,0.0,3658.2382236851454,0.8918918918918919,0.24009630592868705,56.59940989102895,Medium
873f5ba69ffffff,31.162244101783553,30.034356604532206,-2.0,6176.392291625398,0.9459459459459459,0.4053669779033252,67.56564619246356,High
873f5ba6affffff,31.145221562773045,29.99052523218784,-2.0,2013.7034736156456,0.9459459459459459,0.1321627339959952,53.90543399709706,Medium
873f5ba6bffffff,31.142830965681803,30.018221467279254,-2.0,4669.80694443178,0.9459459459459459,0.3064872564883841,62.6216601217165,High
873f5ba6cffffff,31.18644574984369,29.99508714845238,-3.0,3093.3243167685537,0.972972972972973,0.2030200594064514,58.799651618971225,Medium
873f5ba6dffffff,31.184052523448297,30.022793944205866,-3.0,4514.75197793274,0.972972972972973,0.29631073916064876,63.46418560668109,High
873f5ba6effffff,31.16702792442325,29.978953578657325,-3.0,1642.9012024065432,0.972972972972973,0.10782635946170105,54.039966621733704,Medium
